"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Afghanistan","2021-04-06 04:20:32",33.93911,67.709953,56717,2508,51902,2307,"Afghanistan",145.695908284404,4.42195461678156
NA,"","","Albania","2021-04-06 04:20:32",41.1533,20.1683,126795,2274,94431,30090,"Albania",4405.96983807075,1.79344611380575
NA,"","","Algeria","2021-04-06 04:20:32",28.0339,1.6596,117739,3108,81994,32637,"Algeria",268.497604492555,2.63973704549894
NA,"","","Andorra","2021-04-06 04:20:32",42.5063,1.5218,12286,117,11523,646,"Andorra",15901.1195237171,0.952303434803842
NA,"","","Angola","2021-04-06 04:20:32",-11.2027,17.8739,22717,543,21452,722,"Angola",69.1194996645193,2.39028040674385
NA,"","","Antigua and Barbuda","2021-04-06 04:20:32",17.0608,-61.7964,1173,29,885,259,"Antigua and Barbuda",1197.81880565313,2.47229326513214
NA,"","","Argentina","2021-04-06 04:20:32",-38.4161,-63.6167,2407159,56471,2153509,197179,"Argentina",5326.07061938552,2.34596052857331
NA,"","","Armenia","2021-04-06 04:20:32",40.0691,45.0382,197113,3614,176889,16610,"Armenia",6651.95526239237,1.83346608290676
NA,"","Australian Capital Territory","Australia","2021-04-06 04:20:32",-35.4735,149.0124,123,3,120,0,"Australian Capital Territory, Australia",28.7316047652418,2.4390243902439
NA,"","New South Wales","Australia","2021-04-06 04:20:32",-33.8688,151.2093,5310,54,0,5256,"New South Wales, Australia",65.410199556541,1.01694915254237
NA,"","Northern Territory","Australia","2021-04-06 04:20:32",-12.4634,130.8456,112,0,106,6,"Northern Territory, Australia",45.6026058631922,0
NA,"","Queensland","Australia","2021-04-06 04:20:32",-27.4698,153.0251,1491,6,1366,119,"Queensland, Australia",29.1467109764441,0.402414486921529
NA,"","South Australia","Australia","2021-04-06 04:20:32",-34.9285,138.6007,661,4,649,8,"South Australia, Australia",37.6316538571022,0.605143721633888
NA,"","Tasmania","Australia","2021-04-06 04:20:32",-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.6974789915966,5.55555555555556
NA,"","Victoria","Australia","2021-04-06 04:20:32",-37.8136,144.9631,20484,820,19663,1,"Victoria, Australia",308.963936107634,4.00312438976762
NA,"","Western Australia","Australia","2021-04-06 04:20:32",-31.9505,115.8605,950,9,923,18,"Western Australia, Australia",36.1134341975215,0.947368421052632
NA,"","","Austria","2021-04-06 04:20:32",47.5162,14.5501,560972,9482,516084,35406,"Austria",6228.59300053296,1.69028044180458
NA,"","","Azerbaijan","2021-04-06 04:20:32",40.1431,47.5769,271834,3711,242293,25830,"Azerbaijan",2681.02680938045,1.36517139136385
NA,"","","Bahamas","2021-04-06 04:20:32",25.025885,-78.035889,9171,188,8676,307,"Bahamas",2332.11612010741,2.04994002835023
NA,"","","Bahrain","2021-04-06 04:20:32",26.0275,50.55,149791,541,139205,10045,"Bahrain",8803.03811215791,0.361169896722767
NA,"","","Bangladesh","2021-04-06 04:20:32",23.685,90.3563,644439,9318,555414,79707,"Bangladesh",391.3057346265,1.44590876716027
NA,"","","Barbados","2021-04-06 04:20:32",13.1939,-59.5432,3679,43,3534,102,"Barbados",1280.22660602496,1.16879586844251
NA,"","","Belarus","2021-04-06 04:20:32",53.7098,27.9534,328290,2294,318756,7240,"Belarus",3474.21788295688,0.698772426817753
NA,"","Antwerp","Belgium","2021-04-06 04:20:32",51.2195,4.4024,114648,0,0,114648,"Antwerp, Belgium",6170.55241535727,0
NA,"","Brussels","Belgium","2021-04-06 04:20:32",50.8503,4.3517,112215,0,0,112215,"Brussels, Belgium",9285.15517044505,0
NA,"","East Flanders","Belgium","2021-04-06 04:20:32",51.0362,3.7373,102684,0,0,102684,"East Flanders, Belgium",6777.53547044877,0
NA,"","Flemish Brabant","Belgium","2021-04-06 04:20:32",50.9167,4.5833,69492,0,0,69492,"Flemish Brabant, Belgium",6062.94850262831,0
NA,"","Hainaut","Belgium","2021-04-06 04:20:32",50.5257,4.0621,134107,0,0,134107,"Hainaut, Belgium",9976.41047996602,0
NA,"","Liege","Belgium","2021-04-06 04:20:32",50.4496,5.8492,113782,0,0,113782,"Liege, Belgium",10278.4843973579,0
NA,"","Limburg","Belgium","2021-04-06 04:20:32",50.9739,5.342,46922,0,0,46922,"Limburg, Belgium",5368.35505601523,0
NA,"","Luxembourg","Belgium","2021-04-06 04:20:32",50.0547,5.4677,26027,0,0,26027,"Luxembourg, Belgium",9143.89505266338,0
NA,"","Namur","Belgium","2021-04-06 04:20:32",50.331,4.8221,49764,0,0,49764,"Namur, Belgium",10067.0611439842,0
NA,"","Unknown","Belgium","2021-04-06 04:20:32",NA,NA,16916,23202,0,-6286,"Unknown, Belgium",NA,137.160085126507
NA,"","Walloon Brabant","Belgium","2021-04-06 04:20:32",50.4,4.35,34874,0,0,34874,"Walloon Brabant, Belgium",8640.75480860954,0
NA,"","West Flanders","Belgium","2021-04-06 04:20:32",51.0536,3.1458,81533,0,0,81533,"West Flanders, Belgium",6818.3034564424,0
NA,"","","Belize","2021-04-06 04:20:32",17.1899,-88.4976,12456,317,12090,49,"Belize",3132.63132480427,2.54495825305074
NA,"","","Benin","2021-04-06 04:20:32",9.3077,2.3158,7313,93,6452,768,"Benin",60.3223670849886,1.27170791740736
NA,"","","Bhutan","2021-04-06 04:20:32",27.5142,90.4336,891,1,870,20,"Bhutan",115.472543195285,0.112233445566779
NA,"","","Bolivia","2021-04-06 04:20:32",-16.2902,-63.5887,275392,12344,225483,37565,"Bolivia",2359.21627539861,4.48233790378805
NA,"","","Bosnia and Herzegovina","2021-04-06 04:20:32",43.9159,17.6791,176413,6953,133262,36198,"Bosnia and Herzegovina",5377.10904150341,3.94131951726914
NA,"","","Botswana","2021-04-06 04:20:32",-22.3285,24.6849,41710,616,36958,4136,"Botswana",1773.66714505927,1.47686406137617
NA,"","Acre","Brazil","2021-04-06 04:20:32",-9.0238,-70.812,71330,1298,54972,15060,"Acre, Brazil",8087.89763417939,1.81971120145801
NA,"","Alagoas","Brazil","2021-04-06 04:20:32",-9.5713,-36.782,156522,3665,148876,3981,"Alagoas, Brazil",4689.99870256613,2.34152387523799
NA,"","Amapa","Brazil","2021-04-06 04:20:32",0.902,-52.003,99237,1334,72904,24999,"Amapa, Brazil",11733.8728271755,1.34425667845662
NA,"","Amazonas","Brazil","2021-04-06 04:20:32",-3.4168,-65.8561,352976,12107,301338,39531,"Amazonas, Brazil",8516.53369434953,3.42997824214677
NA,"","Bahia","Brazil","2021-04-06 04:20:32",-12.5797,-41.7007,817722,15796,787720,14206,"Bahia, Brazil",5498.00632875647,1.93170784202944
NA,"","Ceara","Brazil","2021-04-06 04:20:32",-5.4984,-39.3206,552009,14407,388801,148801,"Ceara, Brazil",6044.724979353,2.60992121505265
NA,"","Distrito Federal","Brazil","2021-04-06 04:20:32",-15.7998,-47.8645,351163,6366,329673,15124,"Distrito Federal, Brazil",11646.1621321886,1.81283335658939
NA,"","Espirito Santo","Brazil","2021-04-06 04:20:32",-19.1834,-40.3089,390640,7753,360074,22813,"Espirito Santo, Brazil",9720.67734189342,1.98469178783535
NA,"","Goias","Brazil","2021-04-06 04:20:32",-15.827,-49.8362,490889,11887,468971,10031,"Goias, Brazil",6994.36078601906,2.42152502907989
NA,"","Maranhao","Brazil","2021-04-06 04:20:32",-4.9609,-45.2744,244995,6278,220903,17814,"Maranhao, Brazil",3462.73826775598,2.56250127553624
NA,"","Mato Grosso","Brazil","2021-04-06 04:20:32",-12.6819,-56.9211,315295,7982,291209,16104,"Mato Grosso, Brazil",9048.58879380657,2.53159739291774
NA,"","Mato Grosso do Sul","Brazil","2021-04-06 04:20:32",-20.7722,-54.7852,221725,4513,202278,14934,"Mato Grosso do Sul, Brazil",7978.62961526255,2.03540421693539
NA,"","Minas Gerais","Brazil","2021-04-06 04:20:32",-18.5122,-44.555,1159039,25713,1033692,99634,"Minas Gerais, Brazil",5475.22529746739,2.21847582350551
NA,"","Para","Brazil","2021-04-06 04:20:32",-1.9981,-54.9306,423691,10778,394451,18462,"Para, Brazil",4924.9988230665,2.54383501183646
NA,"","Paraiba","Brazil","2021-04-06 04:20:32",-7.24,-36.782,264640,5949,186259,72432,"Paraiba, Brazil",6586.15320023484,2.24795949214027
NA,"","Parana","Brazil","2021-04-06 04:20:32",-25.2521,-52.0215,860424,17405,605045,237974,"Parana, Brazil",7525.16386059524,2.02283990218776
NA,"","Pernambuco","Brazil","2021-04-06 04:20:32",-8.8137,-36.9541,356326,12421,298206,45699,"Pernambuco, Brazil",3728.40172475437,3.48585284262164
NA,"","Piaui","Brazil","2021-04-06 04:20:32",-7.7183,-42.7289,210843,4268,205341,1234,"Piaui, Brazil",6441.44142767978,2.0242550143946
NA,"","Rio Grande do Norte","Brazil","2021-04-06 04:20:32",-5.4026,-36.9541,199748,4641,142776,52331,"Rio Grande do Norte, Brazil",5695.93307732032,2.32342751867353
NA,"","Rio Grande do Sul","Brazil","2021-04-06 04:20:32",-30.0346,-51.2177,860924,20600,826381,13943,"Rio Grande do Sul, Brazil",7567.07317126765,2.39277799201788
NA,"","Rio de Janeiro","Brazil","2021-04-06 04:20:32",-22.9068,-43.1729,659237,37693,614214,7330,"Rio de Janeiro, Brazil",3818.35607566153,5.71767057977632
NA,"","Rondonia","Brazil","2021-04-06 04:20:32",-11.5057,-63.5806,190995,4327,164607,22061,"Rondonia, Brazil",10746.810336339,2.26550433257415
NA,"","Roraima","Brazil","2021-04-06 04:20:32",-2.7376,-62.0751,90371,1352,84118,4901,"Roraima, Brazil",14918.590004969,1.49605515043543
NA,"","Santa Catarina","Brazil","2021-04-06 04:20:32",-27.2423,-50.2189,817884,11324,773868,32692,"Santa Catarina, Brazil",11415.3272923079,1.38454842006935
NA,"","Sao Paulo","Brazil","2021-04-06 04:20:32",-23.5505,-46.6333,2532047,77165,2166848,288034,"Sao Paulo, Brazil",5514.15383188794,3.04753426772884
NA,"","Sergipe","Brazil","2021-04-06 04:20:32",-10.5741,-37.3857,179278,3617,158658,17003,"Sergipe, Brazil",7799.11741265483,2.01753700956057
NA,"","Tocantins","Brazil","2021-04-06 04:20:32",-10.1753,-48.2982,143651,2113,123375,18163,"Tocantins, Brazil",9133.07300176875,1.47092606386311
NA,"","","Brunei","2021-04-06 04:20:32",4.5353,114.7277,214,3,197,14,"Brunei",48.9161864575309,1.4018691588785
NA,"","","Bulgaria","2021-04-06 04:20:32",42.7339,25.4858,356859,13786,273429,69644,"Bulgaria",5135.810962021,3.86315043196332
NA,"","","Burkina Faso","2021-04-06 04:20:32",12.2383,-1.5616,12825,150,12477,198,"Burkina Faso",61.3540134709972,1.16959064327485
NA,"","","Burma","2021-04-06 04:20:32",21.9162,95.956,142511,3206,131815,7490,"Burma",261.921594483523,2.24965090414073
NA,"","","Burundi","2021-04-06 04:20:32",-3.3731,29.9189,2964,6,773,2185,"Burundi",24.9268740211429,0.202429149797571
NA,"","","Cabo Verde","2021-04-06 04:20:32",16.5388,-23.0418,17939,173,16587,1179,"Cabo Verde",3226.50848579466,0.964379285355928
NA,"","","Cambodia","2021-04-06 04:20:32",11.55,104.9167,2752,21,1747,984,"Cambodia",16.4603431634638,0.763081395348837
NA,"","","Cameroon","2021-04-06 04:20:32",3.848,11.5021,57337,851,35261,21225,"Cameroon",215.992216339238,1.48420740534036
NA,"","Alberta","Canada","2021-04-06 04:20:32",53.9333,-116.5765,153194,1998,140614,10582,"Alberta, Canada",3471.31048916125,1.30422862514198
NA,"","British Columbia","Canada","2021-04-06 04:20:32",53.7267,-127.6476,100880,1463,91732,7685,"British Columbia, Canada",1973.81409246129,1.45023790642347
NA,"","Diamond Princess","Canada","2020-12-21 13:27:30",NA,NA,0,1,0,NA,"Diamond Princess, Canada",NA,NA
