"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Afghanistan","2021-04-05 04:20:35",33.93911,67.709953,56676,2497,51885,2294,"Afghanistan",145.590586560059,4.40574493612817
NA,"","","Albania","2021-04-05 04:20:35",41.1533,20.1683,126531,2265,93842,30424,"Albania",4396.79616373619,1.79007515944709
NA,"","","Algeria","2021-04-05 04:20:35",28.0339,1.6596,117622,3105,81896,32621,"Algeria",268.230792138741,2.63981228001564
NA,"","","Andorra","2021-04-05 04:20:35",42.5063,1.5218,12231,117,11474,640,"Andorra",15829.9359347699,0.956585724797645
NA,"","","Angola","2021-04-05 04:20:35",-11.2027,17.8739,22631,542,20879,1210,"Angola",68.8578332045488,2.39494498696478
NA,"","","Antigua and Barbuda","2021-04-05 04:20:35",17.0608,-61.7964,1170,28,882,260,"Antigua and Barbuda",1194.75533044686,2.39316239316239
NA,"","","Argentina","2021-04-05 04:20:35",-38.4161,-63.6167,2393492,56199,2140480,196813,"Argentina",5295.83106846465,2.34799197156289
NA,"","","Armenia","2021-04-05 04:20:35",40.0691,45.0382,196634,3592,176009,17033,"Armenia",6635.79049106483,1.82674410325783
NA,"","Australian Capital Territory","Australia","2021-04-05 04:20:35",-35.4735,149.0124,123,3,120,0,"Australian Capital Territory, Australia",28.7316047652418,2.4390243902439
NA,"","New South Wales","Australia","2021-04-05 04:20:35",-33.8688,151.2093,5303,54,0,5249,"New South Wales, Australia",65.3239714215324,1.01829153309447
NA,"","Northern Territory","Australia","2021-04-05 04:20:35",-12.4634,130.8456,112,0,106,6,"Northern Territory, Australia",45.6026058631922,0
NA,"","Queensland","Australia","2021-04-05 04:20:35",-27.4698,153.0251,1492,6,1353,133,"Queensland, Australia",29.1662594076825,0.402144772117962
NA,"","South Australia","Australia","2021-04-05 04:20:35",-34.9285,138.6007,661,4,644,13,"South Australia, Australia",37.6316538571022,0.605143721633888
NA,"","Tasmania","Australia","2021-04-05 04:20:35",-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.6974789915966,5.55555555555556
NA,"","Victoria","Australia","2021-04-05 04:20:35",-37.8136,144.9631,20484,820,19663,1,"Victoria, Australia",308.963936107634,4.00312438976762
NA,"","Western Australia","Australia","2021-04-05 04:20:35",-31.9505,115.8605,948,9,925,14,"Western Australia, Australia",36.0374059150004,0.949367088607595
NA,"","","Austria","2021-04-05 04:20:35",47.5162,14.5501,558755,9449,512642,36664,"Austria",6203.97717178895,1.69108106415155
NA,"","","Azerbaijan","2021-04-05 04:20:35",40.1431,47.5769,270735,3677,241646,25412,"Azerbaijan",2670.18766319745,1.35815465307404
NA,"","","Bahamas","2021-04-05 04:20:35",25.025885,-78.035889,9171,188,8676,307,"Bahamas",2332.11612010741,2.04994002835023
NA,"","","Bahrain","2021-04-05 04:20:35",26.0275,50.55,148817,536,138407,9874,"Bahrain",8745.79729581219,0.36017390486302
NA,"","","Bangladesh","2021-04-05 04:20:35",23.685,90.3563,637364,9266,552482,75616,"Bangladesh",387.009768565348,1.453800340151
NA,"","","Barbados","2021-04-05 04:20:35",13.1939,-59.5432,3668,43,3526,99,"Barbados",1276.39880154922,1.17230098146129
NA,"","","Belarus","2021-04-05 04:20:35",53.7098,27.9534,327304,2285,318033,6986,"Belarus",3463.78327077681,0.698127734460929
NA,"","Antwerp","Belgium","2021-04-05 04:20:35",51.2195,4.4024,114374,0,0,114374,"Antwerp, Belgium",6155.80526440996,0
NA,"","Brussels","Belgium","2021-04-05 04:20:35",50.8503,4.3517,111938,0,0,111938,"Brussels, Belgium",9262.23499059197,0
NA,"","East Flanders","Belgium","2021-04-05 04:20:35",51.0362,3.7373,102367,0,0,102367,"East Flanders, Belgium",6756.61226192425,0
NA,"","Flemish Brabant","Belgium","2021-04-05 04:20:35",50.9167,4.5833,69350,0,0,69350,"Flemish Brabant, Belgium",6050.55946953999,0
NA,"","Hainaut","Belgium","2021-04-05 04:20:35",50.5257,4.0621,133887,0,0,133887,"Hainaut, Belgium",9960.0443670443,0
NA,"","Liege","Belgium","2021-04-05 04:20:35",50.4496,5.8492,113694,0,0,113694,"Liege, Belgium",10270.5349270817,0
NA,"","Limburg","Belgium","2021-04-05 04:20:35",50.9739,5.342,46812,0,0,46812,"Limburg, Belgium",5355.76993483195,0
NA,"","Luxembourg","Belgium","2021-04-05 04:20:35",50.0547,5.4677,25947,0,0,25947,"Luxembourg, Belgium",9115.7891778329,0
NA,"","Namur","Belgium","2021-04-05 04:20:35",50.331,4.8221,49575,0,0,49575,"Namur, Belgium",10028.8271885905,0
NA,"","Unknown","Belgium","2021-04-05 04:20:35",NA,NA,16884,23169,0,-6285,"Unknown, Belgium",NA,137.224591329069
NA,"","Walloon Brabant","Belgium","2021-04-05 04:20:35",50.4,4.35,34780,0,0,34780,"Walloon Brabant, Belgium",8617.46436438148,0
NA,"","West Flanders","Belgium","2021-04-05 04:20:35",51.0536,3.1458,81388,0,0,81388,"West Flanders, Belgium",6806.17764234033,0
NA,"","","Belize","2021-04-05 04:20:35",17.1899,-88.4976,12456,317,12090,49,"Belize",3132.63132480427,2.54495825305074
NA,"","","Benin","2021-04-05 04:20:35",9.3077,2.3158,7313,93,6452,768,"Benin",60.3223670849886,1.27170791740736
NA,"","","Bhutan","2021-04-05 04:20:35",27.5142,90.4336,891,1,870,20,"Bhutan",115.472543195285,0.112233445566779
NA,"","","Bolivia","2021-04-05 04:20:35",-16.2902,-63.5887,274934,12324,224998,37612,"Bolivia",2355.29270080628,4.4825303527392
NA,"","","Bosnia and Herzegovina","2021-04-05 04:20:35",43.9159,17.6791,173478,6763,131726,34989,"Bosnia and Herzegovina",5287.64956268488,3.89847704031635
NA,"","","Botswana","2021-04-05 04:20:35",-22.3285,24.6849,40878,591,36958,3329,"Botswana",1738.28735448892,1.44576544840746
NA,"","Acre","Brazil","2021-04-05 04:20:35",-9.0238,-70.812,71157,1291,54778,15088,"Acre, Brazil",8068.28167608724,1.81429796084714
NA,"","Alagoas","Brazil","2021-04-05 04:20:35",-9.5713,-36.782,156239,3643,146821,5775,"Alagoas, Brazil",4681.51893848935,2.3316841505642
NA,"","Amapa","Brazil","2021-04-05 04:20:35",0.902,-52.003,98898,1323,72266,25309,"Amapa, Brazil",11693.7891599102,1.33774191591337
NA,"","Amazonas","Brazil","2021-04-05 04:20:35",-3.4168,-65.8561,352312,12072,298476,41764,"Amazonas, Brazil",8500.51283635056,3.42650832216899
